编号,图片文件,文字文件,管段编号,管径,缺陷名称,等级,距离,时钟表示,修复建议,原始图片rid,原始图片路径,Word块序号,备注,原始文字
190,images/190.png,texts/190.txt,Y229-Y230,DN300,PL,4,7.81,-,局部开挖处理,rId216,word/media/image202.png,1167,,管段编号Y229-Y230管径DN300缺陷名称PL等级4距离7.81时钟表示-破裂（4级）：坍塌：管道材料裂痕、裂口或破碎处边缘环向覆盖范围大于弧长60º。（局部开挖处理）
191,images/191.png,texts/191.txt,Y229-Y230,DN300,BX,4,8.53,-,局部开挖处理,rId217,word/media/image203.png,1171,,管段编号Y229-Y230管径DN300缺陷名称BX等级4距离8.53时钟表示-变形（4级）：变形大于管道直径的25％（局部开挖处理）
192,images/192.png,texts/192.txt,Y230-Y229,DN300,BX,4,3,-,局部开挖处理,rId218,word/media/image204.png,1176,,管段编号Y230-Y229管径DN300缺陷名称BX等级4距离3时钟表示-变形（4级）：变形大于管道直径的25％（局部开挖处理）
193,images/193.png,texts/193.txt,Y230-Y231,DN300,CJ,2,0,-,疏通处理,rId219,word/media/image205.png,1181,,管段编号Y230-Y231管径DN300缺陷名称CJ等级2距离0时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理）
194,images/194.png,texts/194.txt,Y230-Y231,DN300,PL,4,1.5,-,开挖处理,rId220,word/media/image206.png,1186,,管段编号Y230-Y231管径DN300缺陷名称PL等级4距离1.5时钟表示-变形（4级）：变形大于管道直径的25％（开挖处理）
195,images/195.png,texts/195.txt,Y232-Y231,DN300,PL,4,3.63,-,开挖处理,rId221,word/media/image207.png,1191,,管段编号Y232-Y231管径DN300缺陷名称PL等级4距离3.63时钟表示-破裂（4级）：坍塌：管道材料裂痕、裂口或破碎处边缘环向覆盖范围大于弧长60º。（开挖处理）
196,images/196.png,texts/196.txt,Y232-Y233,DN300,ZA,3,5.31,-,局部开挖处理/CIPP紫外线光固化整体修复,rId222,word/media/image208.png,1197,,管段编号Y232-Y233管径DN300缺陷名称ZA等级3距离5.31时钟表示-障碍物（3级）：断面损失为15%~30%（局部开挖处理/CIPP紫外线光固化整体修复）
197,images/197.png,texts/197.txt,Y232-Y233,DN300,PL,2,5.31,-,局部开挖处理/CIPP紫外线光固化整体修复,rId223,word/media/image209.png,1201,,管段编号Y232-Y233管径DN300缺陷名称PL等级2距离5.31时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（局部开挖处理/CIPP紫外线光固化整体修复）
198,images/198.png,texts/198.txt,Y232-Y233,DN300,BX,4,6.63,-,局部开挖处理/CIPP紫外线光固化整体修复,rId224,word/media/image210.png,1206,,管段编号Y232-Y233管径DN300缺陷名称BX等级4距离6.63时钟表示-变形（4级）：变形大于管道直径的25％（局部开挖处理/CIPP紫外线光固化整体修复）
199,images/199.png,texts/199.txt,Y233-Y232,DN300,BX,2,2.07,-,局部开挖处理/CIPP紫外线光固化整体修复,rId225,word/media/image211.png,1210,,管段编号Y233-Y232管径DN300缺陷名称BX等级2距离2.07时钟表示-变形（2级）：变形为管道直径的15~25%（局部开挖处理/CIPP紫外线光固化整体修复）
200,images/200.png,texts/200.txt,Y233-Y232,DN300,BX,2,2.8,-,局部开挖处理/CIPP紫外线光固化整体修复,rId226,word/media/image212.png,1215,,管段编号Y233-Y232管径DN300缺陷名称BX等级2距离2.8时钟表示-变形（2级）：变形为管道直径的15~25%（局部开挖处理/CIPP紫外线光固化整体修复）
201,images/201.png,texts/201.txt,Y234-Y203,DN300,BX,2,3.68,-,局部现场固化法修复,rId227,word/media/image213.png,1220,,管段编号Y234-Y203管径DN300缺陷名称BX等级2距离3.68时钟表示-变形（2级）：变形为管道直径的15~25%（局部现场固化法修复）
203,images/203.png,texts/203.txt,video-d04000c24a06,,,,,,,,,,视频帧提取,
204,images/204.png,texts/204.txt,video-d04000c24a06,,,,,,,,,,视频帧提取,
205,images/205.png,texts/205.txt,video-d04000c24a06,,,,,,,,,,视频帧提取,
206,images/206.png,texts/206.txt,video-d04000c24a06,,,,,,,,,,视频帧提取,
207,images/207.png,texts/207.txt,video-d04000c24a06,,,,,,,,,,视频帧提取,
208,images/208.png,texts/208.txt,video-d04000c24a06,,,,,,,,,,视频帧提取,
209,images/209.png,texts/209.txt,video-d04000c24a06,,,,,,,,,,视频帧提取,
210,images/210.png,texts/210.txt,video-d04000c24a06,,,,,,,,,,视频帧提取,
211,images/211.png,texts/211.txt,video-d04000c24a06,,,,,,,,,,视频帧提取,
212,images/212.png,texts/212.txt,video-d04000c24a06,,,,,,,,,,视频帧提取,
